2026-08-20 21:00:00.076 INFO [RankThread][UniverseRankScript.java:402] - 检查天墟战场名人堂排名
2026-08-20 21:00:00.076 INFO [mainThread][DailyActiveScript.java:296] - 日常活动id=21【巅峰竞技】开始阶段
2026-08-20 21:45:51.140 ERROR [copyMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 16, количество: 70
2026-08-20 21:46:05.332 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 55, количество: 245
2026-08-20 21:46:05.343 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 11, количество: 245
2026-08-20 21:46:10.042 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29939
2026-08-20 21:46:13.358 ERROR [copyMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 123, количество: 70
2026-08-20 21:46:40.104 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30063
2026-08-20 21:46:57.009 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 18, количество: 245
2026-08-20 21:47:10.093 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29989
2026-08-20 21:47:11.431 ERROR [city_3][ServerThread.java:87] - city_3-->MapLoopScriptEventTimer run:269
2026-08-20 21:47:40.115 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30022
2026-08-20 21:48:10.079 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29964
2026-08-20 21:48:19.191 ERROR [main_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 16, количество: 17
2026-08-20 21:48:40.117 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30038
2026-08-20 21:49:10.059 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29942
2026-08-20 21:49:10.815 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 298, количество: 245
2026-08-20 21:49:40.101 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30042
2026-08-20 21:50:10.078 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29976
2026-08-20 21:50:40.049 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29972
2026-08-20 21:51:08.758 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 158, количество: 245
2026-08-20 21:51:10.070 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30020
2026-08-20 21:51:40.127 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30058
2026-08-20 21:52:10.077 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29949
2026-08-20 21:52:26.897 ERROR [bi_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 20, количество: 2
2026-08-20 21:52:40.076 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30000
2026-08-20 21:53:10.125 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30047
2026-08-20 21:53:40.073 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29950
2026-08-20 21:54:10.103 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30030
2026-08-20 21:54:37.167 ERROR [copyMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 19, количество: 70
2026-08-20 21:54:40.097 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29994
2026-08-20 21:54:41.486 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 54, количество: 245
2026-08-20 21:55:10.060 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29963
2026-08-20 21:55:40.039 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29978
2026-08-20 21:56:10.082 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30044
2026-08-20 21:56:40.125 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30043
2026-08-20 21:57:10.064 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29939
2026-08-20 21:57:11.440 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 11, количество: 245
2026-08-20 21:57:11.725 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 92, количество: 245
2026-08-20 21:57:34.825 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 68, количество: 245
2026-08-20 21:57:34.870 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 11, количество: 245
2026-08-20 21:57:40.088 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30024
2026-08-20 21:57:53.751 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 15, количество: 245
2026-08-20 21:58:10.041 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29953
2026-08-20 21:58:12.682 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 14, количество: 245
2026-08-20 21:58:40.125 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30084
2026-08-20 21:59:10.079 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29953
2026-08-20 21:59:39.582 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 21, количество: 245
2026-08-20 21:59:40.121 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30043
2026-08-20 21:59:57.241 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 16, количество: 245
2026-08-20 21:59:57.456 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 12, количество: 245
